

Starting up round 14:54:33
---------------------
[15:12:03]HREF: 15:12 Artyuom (usr:Johnny Vietnam) || The paper src=[0x200c734];write=end
[15:12:11]HREF: 15:12 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:12:11]HREF: 15:12 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:12:13]HREF: 15:12 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=observe
[15:13:00]HREF: 15:13 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:13:00]HREF: 15:13 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:13:31]HREF: 15:13 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:13:34]HREF: 15:13 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=late_join
[15:13:36]HREF: 15:13 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:13:36]HREF: 15:13 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:13:37]HREF: 15:13 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:13:40]HREF: 15:13 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:13:41]HREF: 15:13 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:13:42]HREF: 15:13 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:13:44]HREF: 15:13 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=observe
[15:13:45]HREF: 15:13 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:14:04]HREF: 15:14 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:14:08]HREF: 15:14 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=late_join
[15:14:15]HREF: 15:14 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=SelectedJob;job_selected=Squad%20Smartgunner
[15:14:15]HREF: 15:14 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:14:15]HREF: 15:14 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:14:15]HREF: 15:14 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:14:16]HREF: 15:14 Artyom Clark (usr:Artyom Clark) || The new player src=[0x30000a1];lobby_choice=SelectedJob;job_selected=Squad%20Marine
[15:15:03]HREF: 15:15 Artyuom (usr:Johnny Vietnam) || The paper src=[0x201abe0];write=end
[15:16:02]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a5];lobby_choice=late_join
[15:16:03]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a5];lobby_choice=late_join
[15:16:08]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a5];lobby_choice=late_join
[15:16:15]HREF: 15:16 Sewa (usr:Kelvin Focell) || Kelvin Focell src=[0x3000092];track=[0x3000087]
[15:16:19]HREF: 15:16 Sewa (usr:Kelvin Focell) || Kelvin Focell src=[0x3000092];track=[0x3000090]
[15:16:21]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a5];lobby_choice=late_join
[15:16:22]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a5];lobby_choice=late_join
[15:16:22]HREF: 15:16 Sewa (usr:Kelvin Focell) || Kelvin Focell src=[0x3000092];track=[0x3000087]
[15:16:29]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a5];lobby_choice=late_join
[15:16:54]HREF: 15:16 Sewa (usr:Kelvin Focell) || Kelvin Focell src=[0x3000092];track=[0x3000088]
[15:16:55]HREF: 15:16 Gaper (usr:Gaper) || Gaper src=[0x30000a9];lobby_choice=late_join
[15:16:58]HREF: 15:16 Sewa (usr:Kelvin Focell) || Kelvin Focell src=[0x3000092];track=[0x3000088]
[15:16:59]HREF: 15:16 Sewa (usr:Kelvin Focell) || Kelvin Focell src=[0x3000092];track=[0x3000087]
[15:17:13]HREF: 15:17 Gaper (usr:Gaper) || Gaper src=[0x30000a9];lobby_choice=late_join
[15:18:05]HREF: 15:18 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c697];send=1
[15:18:12]HREF: 15:18 EngineerConager (usr:Dell Conrad) || _src_=holder;CentcommFaxView=[0x6017aff]
[15:18:13]HREF: 15:18 BlackCrystalic (usr:Blacky 'GG' Crysis) || _src_=holder;CentcommFaxView=[0x6017aff]
[15:18:28]HREF: 15:18 BlackCrystalic (usr:Blacky 'GG' Crysis) || _src_=holder;adminplayerobservejump=[0x3000086]
[15:20:58]HREF: 15:20 Gaper (usr:Gaper) || Gaper src=[0x30000ab];lobby_choice=late_join
[15:21:00]HREF: 15:21 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c697];scan=1
[15:21:07]HREF: 15:21 Gaper (usr:Gaper) || Gaper src=[0x30000ab];lobby_choice=late_join
[15:21:49]HREF: 15:21 Gaper (usr:Gaper) || Gaper src=[0x30000ab];lobby_choice=SelectedJob;job_selected=Military%20Police
[15:22:13]HREF: 15:22 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c697];scan=1
[15:22:16]HREF: 15:22 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c697];auth=1
[15:22:35]HREF: 15:22 BakaZloy (usr:BakaZloy) || BakaZloy src=[0x30000b0];lobby_choice=show_preferences
